//5 verdelen met rest.ps frm:1 spn:10 max:20 spr:3 stp:1
10 kinderen verdelen 39 dropjes. ieder krijgt er 3##9
6 kinderen verdelen 40 dropjes. ieder krijgt er 6##4
7 kinderen verdelen 40 dropjes. ieder krijgt er 5##5
9 kinderen verdelen 40 dropjes. ieder krijgt er 4##4
4 kinderen verdelen 41 dropjes. ieder krijgt er 10##1
5 kinderen verdelen 41 dropjes. ieder krijgt er 8##1
6 kinderen verdelen 41 dropjes. ieder krijgt er 6##5
7 kinderen verdelen 41 dropjes. ieder krijgt er 5##6
8 kinderen verdelen 41 dropjes. ieder krijgt er 5##1
9 kinderen verdelen 41 dropjes. ieder krijgt er 4##5
10 kinderen verdelen 41 dropjes. ieder krijgt er 4##1
4 kinderen verdelen 42 dropjes. ieder krijgt er 10##2
5 kinderen verdelen 42 dropjes. ieder krijgt er 8##2
8 kinderen verdelen 42 dropjes. ieder krijgt er 5##2
9 kinderen verdelen 42 dropjes. ieder krijgt er 4##6
10 kinderen verdelen 42 dropjes. ieder krijgt er 4##2
4 kinderen verdelen 43 dropjes. ieder krijgt er 10##3
5 kinderen verdelen 43 dropjes. ieder krijgt er 8##3
6 kinderen verdelen 43 dropjes. ieder krijgt er 7##1
7 kinderen verdelen 43 dropjes. ieder krijgt er 6##1
8 kinderen verdelen 43 dropjes. ieder krijgt er 5##3
9 kinderen verdelen 43 dropjes. ieder krijgt er 4##7
10 kinderen verdelen 43 dropjes. ieder krijgt er 4##3
5 kinderen verdelen 44 dropjes. ieder krijgt er 8##4
6 kinderen verdelen 44 dropjes. ieder krijgt er 7##2
7 kinderen verdelen 44 dropjes. ieder krijgt er 6##2
8 kinderen verdelen 44 dropjes. ieder krijgt er 5##4
9 kinderen verdelen 44 dropjes. ieder krijgt er 4##8
10 kinderen verdelen 44 dropjes. ieder krijgt er 4##4
6 kinderen verdelen 45 dropjes. ieder krijgt er 7##3
7 kinderen verdelen 45 dropjes. ieder krijgt er 6##3
8 kinderen verdelen 45 dropjes. ieder krijgt er 5##5
10 kinderen verdelen 45 dropjes. ieder krijgt er 4##5
5 kinderen verdelen 46 dropjes. ieder krijgt er 9##1
6 kinderen verdelen 46 dropjes. ieder krijgt er 7##4
7 kinderen verdelen 46 dropjes. ieder krijgt er 6##4
8 kinderen verdelen 46 dropjes. ieder krijgt er 5##6
9 kinderen verdelen 46 dropjes. ieder krijgt er 5##1
10 kinderen verdelen 46 dropjes. ieder krijgt er 4##6
5 kinderen verdelen 47 dropjes. ieder krijgt er 9##2
6 kinderen verdelen 47 dropjes. ieder krijgt er 7##5
7 kinderen verdelen 47 dropjes. ieder krijgt er 6##5
8 kinderen verdelen 47 dropjes. ieder krijgt er 5##7
9 kinderen verdelen 47 dropjes. ieder krijgt er 5##2
10 kinderen verdelen 47 dropjes. ieder krijgt er 4##7
5 kinderen verdelen 48 dropjes. ieder krijgt er 9##3
7 kinderen verdelen 48 dropjes. ieder krijgt er 6##6
9 kinderen verdelen 48 dropjes. ieder krijgt er 5##3
10 kinderen verdelen 48 dropjes. ieder krijgt er 4##8
5 kinderen verdelen 49 dropjes. ieder krijgt er 9##4
6 kinderen verdelen 49 dropjes. ieder krijgt er 8##1
8 kinderen verdelen 49 dropjes. ieder krijgt er 6##1
9 kinderen verdelen 49 dropjes. ieder krijgt er 5##4
10 kinderen verdelen 49 dropjes. ieder krijgt er 4##9
6 kinderen verdelen 50 dropjes. ieder krijgt er 8##2
7 kinderen verdelen 50 dropjes. ieder krijgt er 7##1
8 kinderen verdelen 50 dropjes. ieder krijgt er 6##2
9 kinderen verdelen 50 dropjes. ieder krijgt er 5##5
5 kinderen verdelen 51 dropjes. ieder krijgt er 10##1
6 kinderen verdelen 51 dropjes. ieder krijgt er 8##3
7 kinderen verdelen 51 dropjes. ieder krijgt er 7##2
8 kinderen verdelen 51 dropjes. ieder krijgt er 6##3
9 kinderen verdelen 51 dropjes. ieder krijgt er 5##6
10 kinderen verdelen 51 dropjes. ieder krijgt er 5##1
5 kinderen verdelen 52 dropjes. ieder krijgt er 10##2
6 kinderen verdelen 52 dropjes. ieder krijgt er 8##4
7 kinderen verdelen 52 dropjes. ieder krijgt er 7##3
8 kinderen verdelen 52 dropjes. ieder krijgt er 6##4
9 kinderen verdelen 52 dropjes. ieder krijgt er 5##7
10 kinderen verdelen 52 dropjes. ieder krijgt er 5##2
5 kinderen verdelen 53 dropjes. ieder krijgt er 10##3
6 kinderen verdelen 53 dropjes. ieder krijgt er 8##5
7 kinderen verdelen 53 dropjes. ieder krijgt er 7##4
8 kinderen verdelen 53 dropjes. ieder krijgt er 6##5
9 kinderen verdelen 53 dropjes. ieder krijgt er 5##8
10 kinderen verdelen 53 dropjes. ieder krijgt er 5##3
5 kinderen verdelen 54 dropjes. ieder krijgt er 10##4
7 kinderen verdelen 54 dropjes. ieder krijgt er 7##5
8 kinderen verdelen 54 dropjes. ieder krijgt er 6##6
10 kinderen verdelen 54 dropjes. ieder krijgt er 5##4
6 kinderen verdelen 55 dropjes. ieder krijgt er 9##1
7 kinderen verdelen 55 dropjes. ieder krijgt er 7##6
8 kinderen verdelen 55 dropjes. ieder krijgt er 6##7
9 kinderen verdelen 55 dropjes. ieder krijgt er 6##1
10 kinderen verdelen 55 dropjes. ieder krijgt er 5##5
6 kinderen verdelen 56 dropjes. ieder krijgt er 9##2
9 kinderen verdelen 56 dropjes. ieder krijgt er 6##2
10 kinderen verdelen 56 dropjes. ieder krijgt er 5##6
6 kinderen verdelen 57 dropjes. ieder krijgt er 9##3
7 kinderen verdelen 57 dropjes. ieder krijgt er 8##1
8 kinderen verdelen 57 dropjes. ieder krijgt er 7##1
9 kinderen verdelen 57 dropjes. ieder krijgt er 6##3
10 kinderen verdelen 57 dropjes. ieder krijgt er 5##7
6 kinderen verdelen 58 dropjes. ieder krijgt er 9##4
7 kinderen verdelen 58 dropjes. ieder krijgt er 8##2
8 kinderen verdelen 58 dropjes. ieder krijgt er 7##2
9 kinderen verdelen 58 dropjes. ieder krijgt er 6##4
10 kinderen verdelen 58 dropjes. ieder krijgt er 5##8
6 kinderen verdelen 59 dropjes. ieder krijgt er 9##5
7 kinderen verdelen 59 dropjes. ieder krijgt er 8##3
8 kinderen verdelen 59 dropjes. ieder krijgt er 7##3
9 kinderen verdelen 59 dropjes. ieder krijgt er 6##5
10 kinderen verdelen 59 dropjes. ieder krijgt er 5##9
7 kinderen verdelen 60 dropjes. ieder krijgt er 8##4
8 kinderen verdelen 60 dropjes. ieder krijgt er 7##4
9 kinderen verdelen 60 dropjes. ieder krijgt er 6##6
6 kinderen verdelen 61 dropjes. ieder krijgt er 10##1
7 kinderen verdelen 61 dropjes. ieder krijgt er 8##5
8 kinderen verdelen 61 dropjes. ieder krijgt er 7##5
9 kinderen verdelen 61 dropjes. ieder krijgt er 6##7
10 kinderen verdelen 61 dropjes. ieder krijgt er 6##1
6 kinderen verdelen 62 dropjes. ieder krijgt er 10##2
7 kinderen verdelen 62 dropjes. ieder krijgt er 8##6
8 kinderen verdelen 62 dropjes. ieder krijgt er 7##6
9 kinderen verdelen 62 dropjes. ieder krijgt er 6##8
10 kinderen verdelen 62 dropjes. ieder krijgt er 6##2
6 kinderen verdelen 63 dropjes. ieder krijgt er 10##3
8 kinderen verdelen 63 dropjes. ieder krijgt er 7##7
10 kinderen verdelen 63 dropjes. ieder krijgt er 6##3
6 kinderen verdelen 64 dropjes. ieder krijgt er 10##4
7 kinderen verdelen 64 dropjes. ieder krijgt er 9##1
9 kinderen verdelen 64 dropjes. ieder krijgt er 7##1
10 kinderen verdelen 64 dropjes. ieder krijgt er 6##4
6 kinderen verdelen 65 dropjes. ieder krijgt er 10##5
7 kinderen verdelen 65 dropjes. ieder krijgt er 9##2
8 kinderen verdelen 65 dropjes. ieder krijgt er 8##1
9 kinderen verdelen 65 dropjes. ieder krijgt er 7##2
10 kinderen verdelen 65 dropjes. ieder krijgt er 6##5
7 kinderen verdelen 66 dropjes. ieder krijgt er 9##3
8 kinderen verdelen 66 dropjes. ieder krijgt er 8##2
9 kinderen verdelen 66 dropjes. ieder krijgt er 7##3
10 kinderen verdelen 66 dropjes. ieder krijgt er 6##6
7 kinderen verdelen 67 dropjes. ieder krijgt er 9##4
8 kinderen verdelen 67 dropjes. ieder krijgt er 8##3
9 kinderen verdelen 67 dropjes. ieder krijgt er 7##4
10 kinderen verdelen 67 dropjes. ieder krijgt er 6##7
7 kinderen verdelen 68 dropjes. ieder krijgt er 9##5
8 kinderen verdelen 68 dropjes. ieder krijgt er 8##4
9 kinderen verdelen 68 dropjes. ieder krijgt er 7##5
10 kinderen verdelen 68 dropjes. ieder krijgt er 6##8
7 kinderen verdelen 69 dropjes. ieder krijgt er 9##6
8 kinderen verdelen 69 dropjes. ieder krijgt er 8##5
9 kinderen verdelen 69 dropjes. ieder krijgt er 7##6
10 kinderen verdelen 69 dropjes. ieder krijgt er 6##9
8 kinderen verdelen 70 dropjes. ieder krijgt er 8##6
9 kinderen verdelen 70 dropjes. ieder krijgt er 7##7
7 kinderen verdelen 71 dropjes. ieder krijgt er 10##1
8 kinderen verdelen 71 dropjes. ieder krijgt er 8##7
9 kinderen verdelen 71 dropjes. ieder krijgt er 7##8
10 kinderen verdelen 71 dropjes. ieder krijgt er 7##1
7 kinderen verdelen 72 dropjes. ieder krijgt er 10##2
10 kinderen verdelen 72 dropjes. ieder krijgt er 7##2
7 kinderen verdelen 73 dropjes. ieder krijgt er 10##3
8 kinderen verdelen 73 dropjes. ieder krijgt er 9##1
9 kinderen verdelen 73 dropjes. ieder krijgt er 8##1
10 kinderen verdelen 73 dropjes. ieder krijgt er 7##3
7 kinderen verdelen 74 dropjes. ieder krijgt er 10##4
8 kinderen verdelen 74 dropjes. ieder krijgt er 9##2
9 kinderen verdelen 74 dropjes. ieder krijgt er 8##2
10 kinderen verdelen 74 dropjes. ieder krijgt er 7##4
7 kinderen verdelen 75 dropjes. ieder krijgt er 10##5
8 kinderen verdelen 75 dropjes. ieder krijgt er 9##3
9 kinderen verdelen 75 dropjes. ieder krijgt er 8##3
10 kinderen verdelen 75 dropjes. ieder krijgt er 7##5
7 kinderen verdelen 76 dropjes. ieder krijgt er 10##6
8 kinderen verdelen 76 dropjes. ieder krijgt er 9##4
9 kinderen verdelen 76 dropjes. ieder krijgt er 8##4
10 kinderen verdelen 76 dropjes. ieder krijgt er 7##6
8 kinderen verdelen 77 dropjes. ieder krijgt er 9##5
9 kinderen verdelen 77 dropjes. ieder krijgt er 8##5
10 kinderen verdelen 77 dropjes. ieder krijgt er 7##7
8 kinderen verdelen 78 dropjes. ieder krijgt er 9##6
9 kinderen verdelen 78 dropjes. ieder krijgt er 8##6
10 kinderen verdelen 78 dropjes. ieder krijgt er 7##8
8 kinderen verdelen 79 dropjes. ieder krijgt er 9##7
9 kinderen verdelen 79 dropjes. ieder krijgt er 8##7
10 kinderen verdelen 79 dropjes. ieder krijgt er 7##9
9 kinderen verdelen 80 dropjes. ieder krijgt er 8##8
8 kinderen verdelen 81 dropjes. ieder krijgt er 10##1
10 kinderen verdelen 81 dropjes. ieder krijgt er 8##1
8 kinderen verdelen 82 dropjes. ieder krijgt er 10##2
9 kinderen verdelen 82 dropjes. ieder krijgt er 9##1
10 kinderen verdelen 82 dropjes. ieder krijgt er 8##2
8 kinderen verdelen 83 dropjes. ieder krijgt er 10##3
9 kinderen verdelen 83 dropjes. ieder krijgt er 9##2
10 kinderen verdelen 83 dropjes. ieder krijgt er 8##3
8 kinderen verdelen 84 dropjes. ieder krijgt er 10##4
9 kinderen verdelen 84 dropjes. ieder krijgt er 9##3
10 kinderen verdelen 84 dropjes. ieder krijgt er 8##4
8 kinderen verdelen 85 dropjes. ieder krijgt er 10##5
9 kinderen verdelen 85 dropjes. ieder krijgt er 9##4
10 kinderen verdelen 85 dropjes. ieder krijgt er 8##5
8 kinderen verdelen 86 dropjes. ieder krijgt er 10##6
9 kinderen verdelen 86 dropjes. ieder krijgt er 9##5
10 kinderen verdelen 86 dropjes. ieder krijgt er 8##6
8 kinderen verdelen 87 dropjes. ieder krijgt er 10##7
9 kinderen verdelen 87 dropjes. ieder krijgt er 9##6
10 kinderen verdelen 87 dropjes. ieder krijgt er 8##7
9 kinderen verdelen 88 dropjes. ieder krijgt er 9##7
10 kinderen verdelen 88 dropjes. ieder krijgt er 8##8
9 kinderen verdelen 89 dropjes. ieder krijgt er 9##8
10 kinderen verdelen 89 dropjes. ieder krijgt er 8##9
9 kinderen verdelen 91 dropjes. ieder krijgt er 10##1
10 kinderen verdelen 91 dropjes. ieder krijgt er 9##1
9 kinderen verdelen 92 dropjes. ieder krijgt er 10##2
10 kinderen verdelen 92 dropjes. ieder krijgt er 9##2
9 kinderen verdelen 93 dropjes. ieder krijgt er 10##3
10 kinderen verdelen 93 dropjes. ieder krijgt er 9##3
9 kinderen verdelen 94 dropjes. ieder krijgt er 10##4
10 kinderen verdelen 94 dropjes. ieder krijgt er 9##4
9 kinderen verdelen 95 dropjes. ieder krijgt er 10##5
10 kinderen verdelen 95 dropjes. ieder krijgt er 9##5
9 kinderen verdelen 96 dropjes. ieder krijgt er 10##6
10 kinderen verdelen 96 dropjes. ieder krijgt er 9##6
9 kinderen verdelen 97 dropjes. ieder krijgt er 10##7
10 kinderen verdelen 97 dropjes. ieder krijgt er 9##7
9 kinderen verdelen 98 dropjes. ieder krijgt er 10##8
10 kinderen verdelen 98 dropjes. ieder krijgt er 9##8
10 kinderen verdelen 99 dropjes. ieder krijgt er 9##9

//Saved to ..\output\5 verdelen met rest.txt
