//1_1tf_telrij_tellen_heen.ps
//1_1tf_telrij_tellen_heen.ps from: 1 span: 10 maxanswer: -1 spreiding: 100 step: -1
1 2 3 4##T
20 21 22 23##T
20 22 23 24##F
20 21 22 23##T
20 21 23 24##F
20 21 22 23##T
20 21 22 24##F
21 22 23 24##T
21 23 24 25##F
21 22 23 24##T
21 22 24 25##F
21 22 23 24##T
21 22 23 25##F
22 23 24 25##T
22 24 25 26##F
22 23 24 25##T
22 23 25 26##F
22 23 24 25##T
22 23 24 26##F
23 24 25 26##T
23 25 26 27##F
23 24 25 26##T
23 24 26 27##F
23 24 25 26##T
23 24 25 27##F
24 25 26 27##T
24 26 27 28##F
24 25 26 27##T
24 25 27 28##F
24 25 26 27##T
24 25 26 28##F
25 26 27 28##T
25 27 28 29##F
25 26 27 28##T
25 26 28 29##F
25 26 27 28##T
25 26 27 29##F
21 22 23 24##T
21 23 24 25##F
21 22 23 24##T
21 22 24 25##F
21 22 23 24##T
21 22 23 25##F
22 23 24 25##T
22 24 25 26##F
22 23 24 25##T
22 23 25 26##F
22 23 24 25##T
22 23 24 26##F
23 24 25 26##T
23 25 26 27##F
23 24 25 26##T
23 24 26 27##F
23 24 25 26##T
23 24 25 27##F
24 25 26 27##T
24 26 27 28##F
24 25 26 27##T
24 25 27 28##F
24 25 26 27##T
24 25 26 28##F
25 26 27 28##T
25 27 28 29##F
25 26 27 28##T
25 26 28 29##F
25 26 27 28##T
25 26 27 29##F
26 27 28 29##T
26 28 29 30##F
26 27 28 29##T
26 27 29 30##F
26 27 28 29##T
26 27 28 30##F
22 23 24 25##T
22 24 25 26##F
22 23 24 25##T
22 23 25 26##F
22 23 24 25##T
22 23 24 26##F
23 24 25 26##T
23 25 26 27##F
23 24 25 26##T
23 24 26 27##F
23 24 25 26##T
23 24 25 27##F
24 25 26 27##T
24 26 27 28##F
24 25 26 27##T
24 25 27 28##F
24 25 26 27##T
24 25 26 28##F
25 26 27 28##T
25 27 28 29##F
25 26 27 28##T
25 26 28 29##F
25 26 27 28##T
25 26 27 29##F
26 27 28 29##T
26 28 29 30##F
26 27 28 29##T
26 27 29 30##F
26 27 28 29##T
26 27 28 30##F
27 28 29 30##T
27 29 30 31##F
27 28 29 30##T
27 28 30 31##F
27 28 29 30##T
27 28 29 31##F
23 24 25 26##T
23 25 26 27##F
23 24 25 26##T
23 24 26 27##F
23 24 25 26##T
23 24 25 27##F
24 25 26 27##T
24 26 27 28##F
24 25 26 27##T
24 25 27 28##F
24 25 26 27##T
24 25 26 28##F
25 26 27 28##T
25 27 28 29##F
25 26 27 28##T
25 26 28 29##F
25 26 27 28##T
25 26 27 29##F
26 27 28 29##T
26 28 29 30##F
26 27 28 29##T
26 27 29 30##F
26 27 28 29##T
26 27 28 30##F
27 28 29 30##T
27 29 30 31##F
27 28 29 30##T
27 28 30 31##F
27 28 29 30##T
27 28 29 31##F
28 29 30 31##T
28 30 31 32##F
28 29 30 31##T
28 29 31 32##F
28 29 30 31##T
28 29 30 32##F
24 25 26 27##T
24 26 27 28##F
24 25 26 27##T
24 25 27 28##F
24 25 26 27##T
24 25 26 28##F
25 26 27 28##T
25 27 28 29##F
25 26 27 28##T
25 26 28 29##F
25 26 27 28##T
25 26 27 29##F
26 27 28 29##T
26 28 29 30##F
26 27 28 29##T
26 27 29 30##F
26 27 28 29##T
26 27 28 30##F
27 28 29 30##T
27 29 30 31##F
27 28 29 30##T
27 28 30 31##F
27 28 29 30##T
27 28 29 31##F
28 29 30 31##T
28 30 31 32##F
28 29 30 31##T
28 29 31 32##F
28 29 30 31##T
28 29 30 32##F
29 30 31 32##T
29 31 32 33##F
29 30 31 32##T
29 30 32 33##F
29 30 31 32##T
29 30 31 33##F
25 26 27 28##T
25 27 28 29##F
25 26 27 28##T
25 26 28 29##F
25 26 27 28##T
25 26 27 29##F
26 27 28 29##T
26 28 29 30##F
26 27 28 29##T
26 27 29 30##F
26 27 28 29##T
26 27 28 30##F
27 28 29 30##T
27 29 30 31##F
27 28 29 30##T
27 28 30 31##F
27 28 29 30##T
27 28 29 31##F
28 29 30 31##T
28 30 31 32##F
28 29 30 31##T
28 29 31 32##F
28 29 30 31##T
28 29 30 32##F
29 30 31 32##T
29 31 32 33##F
29 30 31 32##T
29 30 32 33##F
29 30 31 32##T
29 30 31 33##F
30 31 32 33##T
30 32 33 34##F
30 31 32 33##T
30 31 33 34##F
30 31 32 33##T
30 31 32 34##F
26 27 28 29##T
26 28 29 30##F
26 27 28 29##T
26 27 29 30##F
26 27 28 29##T
26 27 28 30##F
27 28 29 30##T
27 29 30 31##F
27 28 29 30##T
27 28 30 31##F
27 28 29 30##T
27 28 29 31##F
28 29 30 31##T
28 30 31 32##F
28 29 30 31##T
28 29 31 32##F
28 29 30 31##T
28 29 30 32##F
29 30 31 32##T
29 31 32 33##F
29 30 31 32##T
29 30 32 33##F
29 30 31 32##T
29 30 31 33##F
30 31 32 33##T
30 32 33 34##F
30 31 32 33##T
30 31 33 34##F
30 31 32 33##T
30 31 32 34##F
31 32 33 34##T
31 33 34 35##F
31 32 33 34##T
31 32 34 35##F
31 32 33 34##T
31 32 33 35##F
27 28 29 30##T
27 29 30 31##F
27 28 29 30##T
27 28 30 31##F
27 28 29 30##T
27 28 29 31##F
28 29 30 31##T
28 30 31 32##F
28 29 30 31##T
28 29 31 32##F
28 29 30 31##T
28 29 30 32##F
29 30 31 32##T
29 31 32 33##F
29 30 31 32##T
29 30 32 33##F
29 30 31 32##T
29 30 31 33##F
30 31 32 33##T
30 32 33 34##F
30 31 32 33##T
30 31 33 34##F
30 31 32 33##T
30 31 32 34##F
31 32 33 34##T
31 33 34 35##F
31 32 33 34##T
31 32 34 35##F
31 32 33 34##T
31 32 33 35##F
32 33 34 35##T
32 34 35 36##F
32 33 34 35##T
32 33 35 36##F
32 33 34 35##T
32 33 34 36##F
28 29 30 31##T
28 30 31 32##F
28 29 30 31##T
28 29 31 32##F
28 29 30 31##T
28 29 30 32##F
29 30 31 32##T
29 31 32 33##F
29 30 31 32##T
29 30 32 33##F
29 30 31 32##T
29 30 31 33##F
30 31 32 33##T
30 32 33 34##F
30 31 32 33##T
30 31 33 34##F
30 31 32 33##T
30 31 32 34##F
31 32 33 34##T
31 33 34 35##F
31 32 33 34##T
31 32 34 35##F
31 32 33 34##T
31 32 33 35##F
32 33 34 35##T
32 34 35 36##F
32 33 34 35##T
32 33 35 36##F
32 33 34 35##T
32 33 34 36##F
33 34 35 36##T
33 35 36 37##F
33 34 35 36##T
33 34 36 37##F
33 34 35 36##T
33 34 35 37##F
29 30 31 32##T
29 31 32 33##F
29 30 31 32##T
29 30 32 33##F
29 30 31 32##T
29 30 31 33##F
30 31 32 33##T
30 32 33 34##F
30 31 32 33##T
30 31 33 34##F
30 31 32 33##T
30 31 32 34##F
31 32 33 34##T
31 33 34 35##F
31 32 33 34##T
31 32 34 35##F
31 32 33 34##T
31 32 33 35##F
32 33 34 35##T
32 34 35 36##F
32 33 34 35##T
32 33 35 36##F
32 33 34 35##T
32 33 34 36##F
33 34 35 36##T
33 35 36 37##F
33 34 35 36##T
33 34 36 37##F
33 34 35 36##T
33 34 35 37##F
34 35 36 37##T
34 36 37 38##F
34 35 36 37##T
34 35 37 38##F
34 35 36 37##T
34 35 36 38##F
30 31 32 33##T
30 32 33 34##F
30 31 32 33##T
30 31 33 34##F
30 31 32 33##T
30 31 32 34##F
31 32 33 34##T
31 33 34 35##F
31 32 33 34##T
31 32 34 35##F
31 32 33 34##T
31 32 33 35##F
32 33 34 35##T
32 34 35 36##F
32 33 34 35##T
32 33 35 36##F
32 33 34 35##T
32 33 34 36##F
33 34 35 36##T
33 35 36 37##F
33 34 35 36##T
33 34 36 37##F
33 34 35 36##T
33 34 35 37##F
34 35 36 37##T
34 36 37 38##F
34 35 36 37##T
34 35 37 38##F
34 35 36 37##T
34 35 36 38##F
35 36 37 38##T
35 37 38 39##F
35 36 37 38##T
35 36 38 39##F
35 36 37 38##T
35 36 37 39##F
31 32 33 34##T
31 33 34 35##F
31 32 33 34##T
31 32 34 35##F
31 32 33 34##T
31 32 33 35##F
32 33 34 35##T
32 34 35 36##F
32 33 34 35##T
32 33 35 36##F
32 33 34 35##T
32 33 34 36##F
33 34 35 36##T
33 35 36 37##F
33 34 35 36##T
33 34 36 37##F
33 34 35 36##T
33 34 35 37##F
34 35 36 37##T
34 36 37 38##F
34 35 36 37##T
34 35 37 38##F
34 35 36 37##T
34 35 36 38##F
35 36 37 38##T
35 37 38 39##F
35 36 37 38##T
35 36 38 39##F
35 36 37 38##T
35 36 37 39##F
36 37 38 39##T
36 38 39 40##F
36 37 38 39##T
36 37 39 40##F
36 37 38 39##T
36 37 38 40##F
32 33 34 35##T
32 34 35 36##F
32 33 34 35##T
32 33 35 36##F
32 33 34 35##T
32 33 34 36##F
33 34 35 36##T
33 35 36 37##F
33 34 35 36##T
33 34 36 37##F
33 34 35 36##T
33 34 35 37##F
34 35 36 37##T
34 36 37 38##F
34 35 36 37##T
34 35 37 38##F
34 35 36 37##T
34 35 36 38##F
35 36 37 38##T
35 37 38 39##F
35 36 37 38##T
35 36 38 39##F
35 36 37 38##T
35 36 37 39##F
36 37 38 39##T
36 38 39 40##F
36 37 38 39##T
36 37 39 40##F
36 37 38 39##T
36 37 38 40##F
37 38 39 40##T
37 39 40 41##F
37 38 39 40##T
37 38 40 41##F
37 38 39 40##T
37 38 39 41##F
33 34 35 36##T
33 35 36 37##F
33 34 35 36##T
33 34 36 37##F
33 34 35 36##T
33 34 35 37##F
34 35 36 37##T
34 36 37 38##F
34 35 36 37##T
34 35 37 38##F
34 35 36 37##T
34 35 36 38##F
35 36 37 38##T
35 37 38 39##F
35 36 37 38##T
35 36 38 39##F
35 36 37 38##T
35 36 37 39##F
36 37 38 39##T
36 38 39 40##F
36 37 38 39##T
36 37 39 40##F
36 37 38 39##T
36 37 38 40##F
37 38 39 40##T
37 39 40 41##F
37 38 39 40##T
37 38 40 41##F
37 38 39 40##T
37 38 39 41##F
38 39 40 41##T
38 40 41 42##F
38 39 40 41##T
38 39 41 42##F
38 39 40 41##T
38 39 40 42##F
34 35 36 37##T
34 36 37 38##F
34 35 36 37##T
34 35 37 38##F
34 35 36 37##T
34 35 36 38##F
35 36 37 38##T
35 37 38 39##F
35 36 37 38##T
35 36 38 39##F
35 36 37 38##T
35 36 37 39##F
36 37 38 39##T
36 38 39 40##F
36 37 38 39##T
36 37 39 40##F
36 37 38 39##T
36 37 38 40##F
37 38 39 40##T
37 39 40 41##F
37 38 39 40##T
37 38 40 41##F
37 38 39 40##T
37 38 39 41##F
38 39 40 41##T
38 40 41 42##F
38 39 40 41##T
38 39 41 42##F
38 39 40 41##T
38 39 40 42##F
39 40 41 42##T
39 41 42 43##F
39 40 41 42##T
39 40 42 43##F
39 40 41 42##T
39 40 41 43##F
35 36 37 38##T
35 37 38 39##F
35 36 37 38##T
35 36 38 39##F
35 36 37 38##T
35 36 37 39##F
36 37 38 39##T
36 38 39 40##F
36 37 38 39##T
36 37 39 40##F
36 37 38 39##T
36 37 38 40##F
37 38 39 40##T
37 39 40 41##F
37 38 39 40##T
37 38 40 41##F
37 38 39 40##T
37 38 39 41##F
38 39 40 41##T
38 40 41 42##F
38 39 40 41##T
38 39 41 42##F
38 39 40 41##T
38 39 40 42##F
39 40 41 42##T
39 41 42 43##F
39 40 41 42##T
39 40 42 43##F
39 40 41 42##T
39 40 41 43##F
40 41 42 43##T
40 42 43 44##F
40 41 42 43##T
40 41 43 44##F
40 41 42 43##T
40 41 42 44##F
36 37 38 39##T
36 38 39 40##F
36 37 38 39##T
36 37 39 40##F
36 37 38 39##T
36 37 38 40##F
37 38 39 40##T
37 39 40 41##F
37 38 39 40##T
37 38 40 41##F
37 38 39 40##T
37 38 39 41##F
38 39 40 41##T
38 40 41 42##F
38 39 40 41##T
38 39 41 42##F
38 39 40 41##T
38 39 40 42##F
39 40 41 42##T
39 41 42 43##F
39 40 41 42##T
39 40 42 43##F
39 40 41 42##T
39 40 41 43##F
40 41 42 43##T
40 42 43 44##F
40 41 42 43##T
40 41 43 44##F
40 41 42 43##T
40 41 42 44##F
41 42 43 44##T
41 43 44 45##F
41 42 43 44##T
41 42 44 45##F
41 42 43 44##T
41 42 43 45##F
37 38 39 40##T
37 39 40 41##F
37 38 39 40##T
37 38 40 41##F
37 38 39 40##T
37 38 39 41##F
38 39 40 41##T
38 40 41 42##F
38 39 40 41##T
38 39 41 42##F
38 39 40 41##T
38 39 40 42##F
39 40 41 42##T
39 41 42 43##F
39 40 41 42##T
39 40 42 43##F
39 40 41 42##T
39 40 41 43##F
40 41 42 43##T
40 42 43 44##F
40 41 42 43##T
40 41 43 44##F
40 41 42 43##T
40 41 42 44##F
41 42 43 44##T
41 43 44 45##F
41 42 43 44##T
41 42 44 45##F
41 42 43 44##T
41 42 43 45##F
42 43 44 45##T
42 44 45 46##F
42 43 44 45##T
42 43 45 46##F
42 43 44 45##T
42 43 44 46##F
38 39 40 41##T
38 40 41 42##F
38 39 40 41##T
38 39 41 42##F
38 39 40 41##T
38 39 40 42##F
39 40 41 42##T
39 41 42 43##F
39 40 41 42##T
39 40 42 43##F
39 40 41 42##T
39 40 41 43##F
40 41 42 43##T
40 42 43 44##F
40 41 42 43##T
40 41 43 44##F
40 41 42 43##T
40 41 42 44##F
41 42 43 44##T
41 43 44 45##F
41 42 43 44##T
41 42 44 45##F
41 42 43 44##T
41 42 43 45##F
42 43 44 45##T
42 44 45 46##F
42 43 44 45##T
42 43 45 46##F
42 43 44 45##T
42 43 44 46##F
43 44 45 46##T
43 45 46 47##F
43 44 45 46##T
43 44 46 47##F
43 44 45 46##T
43 44 45 47##F
39 40 41 42##T
39 41 42 43##F
39 40 41 42##T
39 40 42 43##F
39 40 41 42##T
39 40 41 43##F
40 41 42 43##T
40 42 43 44##F
40 41 42 43##T
40 41 43 44##F
40 41 42 43##T
40 41 42 44##F
41 42 43 44##T
41 43 44 45##F
41 42 43 44##T
41 42 44 45##F
