//1_2_telrij_tellen_heen_welk_getal_mist.ps
//1_2_telrij_tellen_heen_welk_getal_mist.ps from: 1 span: 10 maxanswer: 20 spreiding: 3 step: 1
1 3 4 5#1,2,3,4,5#2
8 9 10 12#8,9,10,11,12#11
9 11 12 13#9,10,11,12,13#10
9 10 12 13#9,10,11,12,13#11
9 10 11 13#9,10,11,12,13#12
10 12 13 14#10,11,12,13,14#11
10 11 13 14#10,11,12,13,14#12
10 11 12 14#10,11,12,13,14#13
11 13 14 15#11,12,13,14,15#12
11 12 14 15#11,12,13,14,15#13
11 12 13 15#11,12,13,14,15#14
12 14 15 16#12,13,14,15,16#13
12 13 15 16#12,13,14,15,16#14
12 13 14 16#12,13,14,15,16#15
8 10 11 12#8,9,10,11,12#9
8 9 11 12#8,9,10,11,12#10
8 9 10 12#8,9,10,11,12#11
9 11 12 13#9,10,11,12,13#10
9 10 12 13#9,10,11,12,13#11
9 10 11 13#9,10,11,12,13#12
10 12 13 14#10,11,12,13,14#11
10 11 13 14#10,11,12,13,14#12
10 11 12 14#10,11,12,13,14#13
11 13 14 15#11,12,13,14,15#12
11 12 14 15#11,12,13,14,15#13
11 12 13 15#11,12,13,14,15#14
12 14 15 16#12,13,14,15,16#13
12 13 15 16#12,13,14,15,16#14
12 13 14 16#12,13,14,15,16#15
13 15 16 17#13,14,15,16,17#14
13 14 16 17#13,14,15,16,17#15
13 14 15 17#13,14,15,16,17#16
9 11 12 13#9,10,11,12,13#10
9 10 12 13#9,10,11,12,13#11
9 10 11 13#9,10,11,12,13#12
10 12 13 14#10,11,12,13,14#11
10 11 13 14#10,11,12,13,14#12
10 11 12 14#10,11,12,13,14#13
11 13 14 15#11,12,13,14,15#12
11 12 14 15#11,12,13,14,15#13
11 12 13 15#11,12,13,14,15#14
12 14 15 16#12,13,14,15,16#13
12 13 15 16#12,13,14,15,16#14
12 13 14 16#12,13,14,15,16#15
13 15 16 17#13,14,15,16,17#14
13 14 16 17#13,14,15,16,17#15
13 14 15 17#13,14,15,16,17#16
14 16 17 18#14,15,16,17,18#15
14 15 17 18#14,15,16,17,18#16
14 15 16 18#14,15,16,17,18#17
10 12 13 14#10,11,12,13,14#11
10 11 13 14#10,11,12,13,14#12
10 11 12 14#10,11,12,13,14#13
11 13 14 15#11,12,13,14,15#12
11 12 14 15#11,12,13,14,15#13
11 12 13 15#11,12,13,14,15#14
12 14 15 16#12,13,14,15,16#13
12 13 15 16#12,13,14,15,16#14
12 13 14 16#12,13,14,15,16#15
13 15 16 17#13,14,15,16,17#14
13 14 16 17#13,14,15,16,17#15
13 14 15 17#13,14,15,16,17#16
14 16 17 18#14,15,16,17,18#15
14 15 17 18#14,15,16,17,18#16
14 15 16 18#14,15,16,17,18#17
15 17 18 19#15,16,17,18,19#16
15 16 18 19#15,16,17,18,19#17
15 16 17 19#15,16,17,18,19#18
11 13 14 15#11,12,13,14,15#12
11 12 14 15#11,12,13,14,15#13
11 12 13 15#11,12,13,14,15#14
12 14 15 16#12,13,14,15,16#13
12 13 15 16#12,13,14,15,16#14
12 13 14 16#12,13,14,15,16#15
13 15 16 17#13,14,15,16,17#14
13 14 16 17#13,14,15,16,17#15
13 14 15 17#13,14,15,16,17#16
14 16 17 18#14,15,16,17,18#15
14 15 17 18#14,15,16,17,18#16
14 15 16 18#14,15,16,17,18#17
15 17 18 19#15,16,17,18,19#16
15 16 18 19#15,16,17,18,19#17
15 16 17 19#15,16,17,18,19#18
16 18 19 20#16,17,18,19,20#17
16 17 19 20#16,17,18,19,20#18
16 17 18 20#16,17,18,19,20#19
12 14 15 16#12,13,14,15,16#13
12 13 15 16#12,13,14,15,16#14
12 13 14 16#12,13,14,15,16#15
13 15 16 17#13,14,15,16,17#14
13 14 16 17#13,14,15,16,17#15
13 14 15 17#13,14,15,16,17#16
14 16 17 18#14,15,16,17,18#15
14 15 17 18#14,15,16,17,18#16
14 15 16 18#14,15,16,17,18#17
15 17 18 19#15,16,17,18,19#16
15 16 18 19#15,16,17,18,19#17
15 16 17 19#15,16,17,18,19#18
16 18 19 20#16,17,18,19,20#17
16 17 19 20#16,17,18,19,20#18
16 17 18 20#16,17,18,19,20#19
17 19 20 21#17,18,19,20,21#18
17 18 20 21#17,18,19,20,21#19
17 18 19 21#17,18,19,20,21#20
13 15 16 17#13,14,15,16,17#14
13 14 16 17#13,14,15,16,17#15
13 14 15 17#13,14,15,16,17#16
14 16 17 18#14,15,16,17,18#15
14 15 17 18#14,15,16,17,18#16
14 15 16 18#14,15,16,17,18#17
15 17 18 19#15,16,17,18,19#16
15 16 18 19#15,16,17,18,19#17
15 16 17 19#15,16,17,18,19#18
16 18 19 20#16,17,18,19,20#17
16 17 19 20#16,17,18,19,20#18
16 17 18 20#16,17,18,19,20#19
17 19 20 21#17,18,19,20,21#18
17 18 20 21#17,18,19,20,21#19
17 18 19 21#17,18,19,20,21#20
18 20 21 22#18,19,20,21,22#19
18 19 21 22#18,19,20,21,22#20
18 19 20 22#18,19,20,21,22#21
14 16 17 18#14,15,16,17,18#15
14 15 17 18#14,15,16,17,18#16
14 15 16 18#14,15,16,17,18#17
15 17 18 19#15,16,17,18,19#16
15 16 18 19#15,16,17,18,19#17
15 16 17 19#15,16,17,18,19#18
16 18 19 20#16,17,18,19,20#17
16 17 19 20#16,17,18,19,20#18
16 17 18 20#16,17,18,19,20#19
17 19 20 21#17,18,19,20,21#18
17 18 20 21#17,18,19,20,21#19
17 18 19 21#17,18,19,20,21#20
18 20 21 22#18,19,20,21,22#19
18 19 21 22#18,19,20,21,22#20
18 19 20 22#18,19,20,21,22#21
19 21 22 23#19,20,21,22,23#20
19 20 22 23#19,20,21,22,23#21
19 20 21 23#19,20,21,22,23#22
15 17 18 19#15,16,17,18,19#16
15 16 18 19#15,16,17,18,19#17
15 16 17 19#15,16,17,18,19#18
16 18 19 20#16,17,18,19,20#17
16 17 19 20#16,17,18,19,20#18
16 17 18 20#16,17,18,19,20#19
17 19 20 21#17,18,19,20,21#18
17 18 20 21#17,18,19,20,21#19
17 18 19 21#17,18,19,20,21#20
18 20 21 22#18,19,20,21,22#19
18 19 21 22#18,19,20,21,22#20
18 19 20 22#18,19,20,21,22#21
19 21 22 23#19,20,21,22,23#20
19 20 22 23#19,20,21,22,23#21
19 20 21 23#19,20,21,22,23#22
20 22 23 24#20,21,22,23,24#21
20 21 23 24#20,21,22,23,24#22
20 21 22 24#20,21,22,23,24#23
16 18 19 20#16,17,18,19,20#17
16 17 19 20#16,17,18,19,20#18
16 17 18 20#16,17,18,19,20#19
17 19 20 21#17,18,19,20,21#18
17 18 20 21#17,18,19,20,21#19
17 18 19 21#17,18,19,20,21#20
18 20 21 22#18,19,20,21,22#19
18 19 21 22#18,19,20,21,22#20
18 19 20 22#18,19,20,21,22#21
19 21 22 23#19,20,21,22,23#20
19 20 22 23#19,20,21,22,23#21
19 20 21 23#19,20,21,22,23#22
20 22 23 24#20,21,22,23,24#21
20 21 23 24#20,21,22,23,24#22
20 21 22 24#20,21,22,23,24#23
21 23 24 25#21,22,23,24,25#22
21 22 24 25#21,22,23,24,25#23
21 22 23 25#21,22,23,24,25#24
17 19 20 21#17,18,19,20,21#18
17 18 20 21#17,18,19,20,21#19
17 18 19 21#17,18,19,20,21#20
18 20 21 22#18,19,20,21,22#19
18 19 21 22#18,19,20,21,22#20
18 19 20 22#18,19,20,21,22#21
19 21 22 23#19,20,21,22,23#20
19 20 22 23#19,20,21,22,23#21
19 20 21 23#19,20,21,22,23#22
20 22 23 24#20,21,22,23,24#21
20 21 23 24#20,21,22,23,24#22
20 21 22 24#20,21,22,23,24#23
21 23 24 25#21,22,23,24,25#22
21 22 24 25#21,22,23,24,25#23
21 22 23 25#21,22,23,24,25#24
22 24 25 26#22,23,24,25,26#23
22 23 25 26#22,23,24,25,26#24
22 23 24 26#22,23,24,25,26#25
18 20 21 22#18,19,20,21,22#19
18 19 21 22#18,19,20,21,22#20
18 19 20 22#18,19,20,21,22#21
19 21 22 23#19,20,21,22,23#20
19 20 22 23#19,20,21,22,23#21
19 20 21 23#19,20,21,22,23#22
20 22 23 24#20,21,22,23,24#21
20 21 23 24#20,21,22,23,24#22
20 21 22 24#20,21,22,23,24#23
21 23 24 25#21,22,23,24,25#22
21 22 24 25#21,22,23,24,25#23
21 22 23 25#21,22,23,24,25#24
22 24 25 26#22,23,24,25,26#23
22 23 25 26#22,23,24,25,26#24
22 23 24 26#22,23,24,25,26#25
23 25 26 27#23,24,25,26,27#24
23 24 26 27#23,24,25,26,27#25
23 24 25 27#23,24,25,26,27#26
19 21 22 23#19,20,21,22,23#20
19 20 22 23#19,20,21,22,23#21
19 20 21 23#19,20,21,22,23#22
20 22 23 24#20,21,22,23,24#21
20 21 23 24#20,21,22,23,24#22
20 21 22 24#20,21,22,23,24#23
21 23 24 25#21,22,23,24,25#22
21 22 24 25#21,22,23,24,25#23
21 22 23 25#21,22,23,24,25#24
22 24 25 26#22,23,24,25,26#23
22 23 25 26#22,23,24,25,26#24
22 23 24 26#22,23,24,25,26#25
23 25 26 27#23,24,25,26,27#24
23 24 26 27#23,24,25,26,27#25
23 24 25 27#23,24,25,26,27#26
24 26 27 28#24,25,26,27,28#25
24 25 27 28#24,25,26,27,28#26
24 25 26 28#24,25,26,27,28#27
20 22 23 24#20,21,22,23,24#21
20 21 23 24#20,21,22,23,24#22
20 21 22 24#20,21,22,23,24#23
21 23 24 25#21,22,23,24,25#22
21 22 24 25#21,22,23,24,25#23
21 22 23 25#21,22,23,24,25#24
22 24 25 26#22,23,24,25,26#23
22 23 25 26#22,23,24,25,26#24
22 23 24 26#22,23,24,25,26#25
23 25 26 27#23,24,25,26,27#24
23 24 26 27#23,24,25,26,27#25
23 24 25 27#23,24,25,26,27#26
24 26 27 28#24,25,26,27,28#25
24 25 27 28#24,25,26,27,28#26
24 25 26 28#24,25,26,27,28#27
25 27 28 29#25,26,27,28,29#26
25 26 28 29#25,26,27,28,29#27
25 26 27 29#25,26,27,28,29#28
21 23 24 25#21,22,23,24,25#22
21 22 24 25#21,22,23,24,25#23
21 22 23 25#21,22,23,24,25#24
22 24 25 26#22,23,24,25,26#23
22 23 25 26#22,23,24,25,26#24
22 23 24 26#22,23,24,25,26#25
23 25 26 27#23,24,25,26,27#24
23 24 26 27#23,24,25,26,27#25
23 24 25 27#23,24,25,26,27#26
24 26 27 28#24,25,26,27,28#25
24 25 27 28#24,25,26,27,28#26
24 25 26 28#24,25,26,27,28#27
25 27 28 29#25,26,27,28,29#26
25 26 28 29#25,26,27,28,29#27
25 26 27 29#25,26,27,28,29#28
26 28 29 30#26,27,28,29,30#27
26 27 29 30#26,27,28,29,30#28
26 27 28 30#26,27,28,29,30#29
22 24 25 26#22,23,24,25,26#23
22 23 25 26#22,23,24,25,26#24
22 23 24 26#22,23,24,25,26#25
23 25 26 27#23,24,25,26,27#24
23 24 26 27#23,24,25,26,27#25
23 24 25 27#23,24,25,26,27#26
24 26 27 28#24,25,26,27,28#25
24 25 27 28#24,25,26,27,28#26
24 25 26 28#24,25,26,27,28#27
25 27 28 29#25,26,27,28,29#26
25 26 28 29#25,26,27,28,29#27
25 26 27 29#25,26,27,28,29#28
26 28 29 30#26,27,28,29,30#27
26 27 29 30#26,27,28,29,30#28
26 27 28 30#26,27,28,29,30#29
27 29 30 31#27,28,29,30,31#28
27 28 30 31#27,28,29,30,31#29
27 28 29 31#27,28,29,30,31#30
23 25 26 27#23,24,25,26,27#24
23 24 26 27#23,24,25,26,27#25
23 24 25 27#23,24,25,26,27#26
24 26 27 28#24,25,26,27,28#25
24 25 27 28#24,25,26,27,28#26
24 25 26 28#24,25,26,27,28#27
25 27 28 29#25,26,27,28,29#26
25 26 28 29#25,26,27,28,29#27
25 26 27 29#25,26,27,28,29#28
26 28 29 30#26,27,28,29,30#27
26 27 29 30#26,27,28,29,30#28
26 27 28 30#26,27,28,29,30#29
27 29 30 31#27,28,29,30,31#28
27 28 30 31#27,28,29,30,31#29
27 28 29 31#27,28,29,30,31#30
28 30 31 32#28,29,30,31,32#29
28 29 31 32#28,29,30,31,32#30
28 29 30 32#28,29,30,31,32#31
24 26 27 28#24,25,26,27,28#25
24 25 27 28#24,25,26,27,28#26
24 25 26 28#24,25,26,27,28#27
25 27 28 29#25,26,27,28,29#26
25 26 28 29#25,26,27,28,29#27
25 26 27 29#25,26,27,28,29#28
26 28 29 30#26,27,28,29,30#27
26 27 29 30#26,27,28,29,30#28
26 27 28 30#26,27,28,29,30#29
27 29 30 31#27,28,29,30,31#28
27 28 30 31#27,28,29,30,31#29
27 28 29 31#27,28,29,30,31#30
28 30 31 32#28,29,30,31,32#29
28 29 31 32#28,29,30,31,32#30
28 29 30 32#28,29,30,31,32#31
29 31 32 33#29,30,31,32,33#30
29 30 32 33#29,30,31,32,33#31
29 30 31 33#29,30,31,32,33#32
25 27 28 29#25,26,27,28,29#26
25 26 28 29#25,26,27,28,29#27
25 26 27 29#25,26,27,28,29#28
26 28 29 30#26,27,28,29,30#27
26 27 29 30#26,27,28,29,30#28
26 27 28 30#26,27,28,29,30#29
27 29 30 31#27,28,29,30,31#28
27 28 30 31#27,28,29,30,31#29
27 28 29 31#27,28,29,30,31#30
28 30 31 32#28,29,30,31,32#29
28 29 31 32#28,29,30,31,32#30
28 29 30 32#28,29,30,31,32#31
29 31 32 33#29,30,31,32,33#30
29 30 32 33#29,30,31,32,33#31
29 30 31 33#29,30,31,32,33#32
30 32 33 34#30,31,32,33,34#31
30 31 33 34#30,31,32,33,34#32
30 31 32 34#30,31,32,33,34#33
26 28 29 30#26,27,28,29,30#27
26 27 29 30#26,27,28,29,30#28
26 27 28 30#26,27,28,29,30#29
27 29 30 31#27,28,29,30,31#28
27 28 30 31#27,28,29,30,31#29
27 28 29 31#27,28,29,30,31#30
28 30 31 32#28,29,30,31,32#29
28 29 31 32#28,29,30,31,32#30
28 29 30 32#28,29,30,31,32#31
29 31 32 33#29,30,31,32,33#30
29 30 32 33#29,30,31,32,33#31
29 30 31 33#29,30,31,32,33#32
30 32 33 34#30,31,32,33,34#31
30 31 33 34#30,31,32,33,34#32
30 31 32 34#30,31,32,33,34#33
31 33 34 35#31,32,33,34,35#32
31 32 34 35#31,32,33,34,35#33
31 32 33 35#31,32,33,34,35#34
27 29 30 31#27,28,29,30,31#28
27 28 30 31#27,28,29,30,31#29
27 28 29 31#27,28,29,30,31#30
28 30 31 32#28,29,30,31,32#29
28 29 31 32#28,29,30,31,32#30
28 29 30 32#28,29,30,31,32#31
29 31 32 33#29,30,31,32,33#30
29 30 32 33#29,30,31,32,33#31
29 30 31 33#29,30,31,32,33#32
30 32 33 34#30,31,32,33,34#31
30 31 33 34#30,31,32,33,34#32
30 31 32 34#30,31,32,33,34#33
31 33 34 35#31,32,33,34,35#32
31 32 34 35#31,32,33,34,35#33
31 32 33 35#31,32,33,34,35#34
32 34 35 36#32,33,34,35,36#33
32 33 35 36#32,33,34,35,36#34
32 33 34 36#32,33,34,35,36#35
28 30 31 32#28,29,30,31,32#29
28 29 31 32#28,29,30,31,32#30
28 29 30 32#28,29,30,31,32#31
29 31 32 33#29,30,31,32,33#30
29 30 32 33#29,30,31,32,33#31
29 30 31 33#29,30,31,32,33#32
30 32 33 34#30,31,32,33,34#31
30 31 33 34#30,31,32,33,34#32
30 31 32 34#30,31,32,33,34#33
31 33 34 35#31,32,33,34,35#32
31 32 34 35#31,32,33,34,35#33
31 32 33 35#31,32,33,34,35#34
32 34 35 36#32,33,34,35,36#33
32 33 35 36#32,33,34,35,36#34
32 33 34 36#32,33,34,35,36#35
33 35 36 37#33,34,35,36,37#34
33 34 36 37#33,34,35,36,37#35
33 34 35 37#33,34,35,36,37#36
29 31 32 33#29,30,31,32,33#30
29 30 32 33#29,30,31,32,33#31
29 30 31 33#29,30,31,32,33#32
30 32 33 34#30,31,32,33,34#31
30 31 33 34#30,31,32,33,34#32
30 31 32 34#30,31,32,33,34#33
31 33 34 35#31,32,33,34,35#32
31 32 34 35#31,32,33,34,35#33
31 32 33 35#31,32,33,34,35#34
32 34 35 36#32,33,34,35,36#33
32 33 35 36#32,33,34,35,36#34
32 33 34 36#32,33,34,35,36#35
33 35 36 37#33,34,35,36,37#34
33 34 36 37#33,34,35,36,37#35
33 34 35 37#33,34,35,36,37#36
34 36 37 38#34,35,36,37,38#35
34 35 37 38#34,35,36,37,38#36
34 35 36 38#34,35,36,37,38#37
30 32 33 34#30,31,32,33,34#31
30 31 33 34#30,31,32,33,34#32
30 31 32 34#30,31,32,33,34#33
31 33 34 35#31,32,33,34,35#32
31 32 34 35#31,32,33,34,35#33
31 32 33 35#31,32,33,34,35#34
32 34 35 36#32,33,34,35,36#33
32 33 35 36#32,33,34,35,36#34
32 33 34 36#32,33,34,35,36#35
33 35 36 37#33,34,35,36,37#34
33 34 36 37#33,34,35,36,37#35
33 34 35 37#33,34,35,36,37#36
34 36 37 38#34,35,36,37,38#35
34 35 37 38#34,35,36,37,38#36
34 35 36 38#34,35,36,37,38#37
35 37 38 39#35,36,37,38,39#36
35 36 38 39#35,36,37,38,39#37
35 36 37 39#35,36,37,38,39#38
31 33 34 35#31,32,33,34,35#32
31 32 34 35#31,32,33,34,35#33
31 32 33 35#31,32,33,34,35#34
32 34 35 36#32,33,34,35,36#33
32 33 35 36#32,33,34,35,36#34
32 33 34 36#32,33,34,35,36#35
33 35 36 37#33,34,35,36,37#34
33 34 36 37#33,34,35,36,37#35
33 34 35 37#33,34,35,36,37#36
34 36 37 38#34,35,36,37,38#35
34 35 37 38#34,35,36,37,38#36
34 35 36 38#34,35,36,37,38#37
35 37 38 39#35,36,37,38,39#36
35 36 38 39#35,36,37,38,39#37
35 36 37 39#35,36,37,38,39#38
36 38 39 40#36,37,38,39,40#37
36 37 39 40#36,37,38,39,40#38
36 37 38 40#36,37,38,39,40#39
32 34 35 36#32,33,34,35,36#33
32 33 35 36#32,33,34,35,36#34
32 33 34 36#32,33,34,35,36#35
33 35 36 37#33,34,35,36,37#34
33 34 36 37#33,34,35,36,37#35
33 34 35 37#33,34,35,36,37#36
34 36 37 38#34,35,36,37,38#35
34 35 37 38#34,35,36,37,38#36
34 35 36 38#34,35,36,37,38#37
35 37 38 39#35,36,37,38,39#36
35 36 38 39#35,36,37,38,39#37
35 36 37 39#35,36,37,38,39#38
36 38 39 40#36,37,38,39,40#37
36 37 39 40#36,37,38,39,40#38
36 37 38 40#36,37,38,39,40#39
37 39 40 41#37,38,39,40,41#38
37 38 40 41#37,38,39,40,41#39
37 38 39 41#37,38,39,40,41#40
33 35 36 37#33,34,35,36,37#34
33 34 36 37#33,34,35,36,37#35
33 34 35 37#33,34,35,36,37#36
34 36 37 38#34,35,36,37,38#35
34 35 37 38#34,35,36,37,38#36
34 35 36 38#34,35,36,37,38#37
35 37 38 39#35,36,37,38,39#36
35 36 38 39#35,36,37,38,39#37
35 36 37 39#35,36,37,38,39#38
36 38 39 40#36,37,38,39,40#37
36 37 39 40#36,37,38,39,40#38
36 37 38 40#36,37,38,39,40#39
37 39 40 41#37,38,39,40,41#38
37 38 40 41#37,38,39,40,41#39
37 38 39 41#37,38,39,40,41#40
38 40 41 42#38,39,40,41,42#39
38 39 41 42#38,39,40,41,42#40
38 39 40 42#38,39,40,41,42#41
34 36 37 38#34,35,36,37,38#35
34 35 37 38#34,35,36,37,38#36
34 35 36 38#34,35,36,37,38#37
35 37 38 39#35,36,37,38,39#36
35 36 38 39#35,36,37,38,39#37
35 36 37 39#35,36,37,38,39#38
36 38 39 40#36,37,38,39,40#37
36 37 39 40#36,37,38,39,40#38
36 37 38 40#36,37,38,39,40#39
37 39 40 41#37,38,39,40,41#38
37 38 40 41#37,38,39,40,41#39
37 38 39 41#37,38,39,40,41#40
38 40 41 42#38,39,40,41,42#39
38 39 41 42#38,39,40,41,42#40
38 39 40 42#38,39,40,41,42#41
39 41 42 43#39,40,41,42,43#40
39 40 42 43#39,40,41,42,43#41
39 40 41 43#39,40,41,42,43#42
35 37 38 39#35,36,37,38,39#36
35 36 38 39#35,36,37,38,39#37
35 36 37 39#35,36,37,38,39#38
36 38 39 40#36,37,38,39,40#37
36 37 39 40#36,37,38,39,40#38
36 37 38 40#36,37,38,39,40#39
37 39 40 41#37,38,39,40,41#38
37 38 40 41#37,38,39,40,41#39
37 38 39 41#37,38,39,40,41#40
38 40 41 42#38,39,40,41,42#39
38 39 41 42#38,39,40,41,42#40
38 39 40 42#38,39,40,41,42#41
39 41 42 43#39,40,41,42,43#40
39 40 42 43#39,40,41,42,43#41
39 40 41 43#39,40,41,42,43#42
40 42 43 44#40,41,42,43,44#41
40 41 43 44#40,41,42,43,44#42
40 41 42 44#40,41,42,43,44#43
36 38 39 40#36,37,38,39,40#37
36 37 39 40#36,37,38,39,40#38
36 37 38 40#36,37,38,39,40#39
37 39 40 41#37,38,39,40,41#38
37 38 40 41#37,38,39,40,41#39
37 38 39 41#37,38,39,40,41#40
38 40 41 42#38,39,40,41,42#39
38 39 41 42#38,39,40,41,42#40
38 39 40 42#38,39,40,41,42#41
39 41 42 43#39,40,41,42,43#40
39 40 42 43#39,40,41,42,43#41
39 40 41 43#39,40,41,42,43#42
40 42 43 44#40,41,42,43,44#41
40 41 43 44#40,41,42,43,44#42
40 41 42 44#40,41,42,43,44#43
41 43 44 45#41,42,43,44,45#42
41 42 44 45#41,42,43,44,45#43
41 42 43 45#41,42,43,44,45#44
37 39 40 41#37,38,39,40,41#38
37 38 40 41#37,38,39,40,41#39
37 38 39 41#37,38,39,40,41#40
38 40 41 42#38,39,40,41,42#39
38 39 41 42#38,39,40,41,42#40
38 39 40 42#38,39,40,41,42#41
39 41 42 43#39,40,41,42,43#40
39 40 42 43#39,40,41,42,43#41
39 40 41 43#39,40,41,42,43#42
40 42 43 44#40,41,42,43,44#41
40 41 43 44#40,41,42,43,44#42
40 41 42 44#40,41,42,43,44#43
41 43 44 45#41,42,43,44,45#42
41 42 44 45#41,42,43,44,45#43
41 42 43 45#41,42,43,44,45#44
42 44 45 46#42,43,44,45,46#43
42 43 45 46#42,43,44,45,46#44
42 43 44 46#42,43,44,45,46#45
38 40 41 42#38,39,40,41,42#39
38 39 41 42#38,39,40,41,42#40
38 39 40 42#38,39,40,41,42#41
39 41 42 43#39,40,41,42,43#40
39 40 42 43#39,40,41,42,43#41
39 40 41 43#39,40,41,42,43#42
40 42 43 44#40,41,42,43,44#41
40 41 43 44#40,41,42,43,44#42
40 41 42 44#40,41,42,43,44#43
41 43 44 45#41,42,43,44,45#42
41 42 44 45#41,42,43,44,45#43
41 42 43 45#41,42,43,44,45#44
42 44 45 46#42,43,44,45,46#43
42 43 45 46#42,43,44,45,46#44
42 43 44 46#42,43,44,45,46#45
43 45 46 47#43,44,45,46,47#44
43 44 46 47#43,44,45,46,47#45
43 44 45 47#43,44,45,46,47#46
39 41 42 43#39,40,41,42,43#40
39 40 42 43#39,40,41,42,43#41
39 40 41 43#39,40,41,42,43#42
40 42 43 44#40,41,42,43,44#41
40 41 43 44#40,41,42,43,44#42
40 41 42 44#40,41,42,43,44#43
